Day fraction since midnight on 10/27/2019,Time (seconds),Time (seconds since start),Coag Flow mL/s (),Water Flow mL/s (),Manual Water Pump Control (rpm),Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity ()
0.37823106,32679.16358,310.964832,0.0006587,0.6547413,0,0,0,-999
0.37824259,32680.15978,311.961024,0.0006587,0.6547413,0,0,0,-999
0.37825409,32681.15338,312.954624,0.0006587,0.6547413,0,0,0,-999
0.37826559,32682.14698,313.948224,0.0006587,0.6547413,0,0,0,-999
0.37827709,32683.14058,314.941824,0.0006587,0.6547413,0,0,0,-999
0.37828862,32684.13677,315.938016,0.0006587,0.6547413,0,0,0,-999
0.37830012,32685.13037,316.931616,0.0006587,0.6547413,0,0,0,-999
0.37831162,32686.12397,317.925216,0.0006587,0.6547413,0,0,0,-999
0.37832313,32687.11843,318.91968,0.0006587,0.6547413,0,0,0,-999
0.37833464,32688.1129,319.914144,0.0006587,0.6547413,0,0,0,-999
0.37834614,32689.1065,320.907744,0.0006587,0.6547413,0,0,0,-999
0.37835766,32690.10182,321.903072,0.0006587,0.6547413,0,0,0,-999
0.37836916,32691.09542,322.896672,0.0006587,0.6547413,0,0,0,-999
0.37838068,32692.09075,323.892,0.0006587,0.6547413,0,0,0,-999
0.37839218,32693.08435,324.8856,0.0006587,0.6547413,0,0,0,-999
0.37840368,32694.07795,325.8792,0.0006587,0.6547413,0,0,0,-999
0.37841521,32695.07414,326.875392,0.0006587,0.6547413,0,0,0,-999
0.37842671,32696.06774,327.868992,0.0006587,0.6547413,0,0,0,-999
0.37843822,32697.06221,328.863456,0.0006587,0.6547413,0,0,0,-999
0.37844973,32698.05667,329.85792,0.0006587,0.6547413,0,0,0,-999
0.37846123,32699.05027,330.85152,0.0006587,0.6547413,0,0,0,-999
0.37847274,32700.04474,331.845984,0.0006587,0.6547413,0,0,0,-999
0.37848424,32701.03834,332.839584,0.0006587,0.6547413,0,0,0,-999
0.37849575,32702.0328,333.834048,0.0006587,0.6547413,0,0,0,-999
0.37850727,32703.02813,334.829376,0.0006587,0.6547413,0,0,0,-999
0.37851877,32704.02173,335.822976,0.0006587,0.6547413,0,0,0,-999
0.37853027,32705.01533,336.816576,0.0006587,0.6547413,0,0,0,-999
0.37854179,32706.01066,337.811904,0.0006587,0.6547413,0,0,0,-999
0.3785533,32707.00512,338.806368,0.0006587,0.6547413,0,0,0,-999
0.37856482,32708.00045,339.801696,0.0006587,0.6547413,0,0,0,-999
0.3785763,32708.99232,340.793568,0.0006587,0.6547413,0,0,0,-999
0.37858782,32709.98765,341.788896,0.0006587,0.6547413,0,0,0,-999
0.37859933,32710.98211,342.78336,0.0006587,0.6547413,0,0,0,-999
0.37861083,32711.97571,343.77696,0.0006587,0.6547413,0,0,0,-999
0.37862235,32712.97104,344.772288,0.0006587,0.6547413,0,0,0,-999
0.37863385,32713.96464,345.765888,0.0006587,0.6547413,0,0,0,-999
0.37864535,32714.95824,346.759488,0.0006587,0.6547413,0,0,0,-999
0.37865685,32715.95184,347.753088,0.0006587,0.6547413,0,0,0,-999
0.37866838,32716.94803,348.74928,0.0006587,0.6547413,0,0,0,-999
