Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.37710329	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37711481	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37712631	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37713783	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37714933	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37716083	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37717234	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37718386	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37719536	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37720686	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37721837	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37722990	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37724140	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37725290	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37726440	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37727593	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37728743	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37729893	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37731046	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37732194	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37733346	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37734496	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37735646	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37736797	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37737949	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37739099	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37740249	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37741402	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37742552	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37743702	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37744853	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37746005	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
