Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0026336	8.73648739	0.11919077	1.801875477
0.0026336	8.73648739	0.11984757	1.742147017
0.0026336	8.73648739	0.11968066	1.757135287
0.0026336	8.73648739	0.11879975	1.838402286
0.0026336	7.67498112	0.11931013	1.790870812
0.0026336	7.67498112	0.11867978	1.849756937
0.0026336	7.67498112	0.11826962	1.889109227
0.0026336	7.67498112	0.11876614	1.841576284
0.0026336	7.67498112	0.11852122	1.864871634
0.0026336	8.2158165	0.1188566	1.833046042
0.0026336	8.2158165	0.11866198	1.851447595
0.0026336	8.2158165	0.11854182	1.862900985
0.0026336	8.2158165	0.11782684	1.932531442
0.0026336	8.2158165	0.11762682	1.952472763
0.0026336	8.67915249	0.1182542	1.890604898
0.0026336	8.67915249	0.11779114	1.93607562
0.0026336	8.67915249	0.11776236	1.938937535
0.0026336	8.67915249	0.11721123	1.994566051
0.0026336	8.67915249	0.11709252	2.006755448
0.0026336	9.04335499	0.1170544	2.010685471
0.0026336	9.04335499	0.1171037	2.005604291
0.0026336	9.04335499	0.11690427	2.026238275
0.0026336	9.04335499	0.11645811	2.073172092
0.0026336	9.04335499	0.11708814	2.007206618
0.0026336	9.63707924	0.116557	2.062676452
0.0026336	9.63707924	0.11683423	2.033535207
