Day fraction since midnight on 11/11/2019	Time (seconds)	Time Elapsed (seconds)	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Effluent Fluoride Concentration (mg/L)	Flocculated Fluoride (mg/L)
Start expt!												
0.65822932	56871.01325	127.000224	0.10541581	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01924526	0.50307692	0.445229924	4.554770076
0.65824092	56872.01549	128.002464	0.10553442	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01924526	0.50307692	0.447798224	4.552201776
0.65825249	56873.01514	129.002112	0.10513311	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01924526	0.50307692	0.439167767	4.560832233
0.65826405	56874.01392	130.000896	0.10480452	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01924526	0.50307692	0.432225206	4.567774794
0.65827562	56875.01357	131.000544	0.10631149	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01924526	0.50307692	0.464994784	4.535005216
0.65828721	56876.01494	132.00192	0.10454255	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01965841	0.50307692	0.426768929	4.573231071
0.65829877	56877.01373	133.000704	0.10567971	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01965841	0.50307692	0.450964432	4.549035568
0.65831034	56878.01338	134.000352	0.1062083	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01965841	0.50307692	0.462673704	4.537326296
0.65832191	56879.01302	135	0.10544089	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01965841	0.50307692	0.445771758	4.554228242
0.65833351	56880.01526	136.00224	0.10484964	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01965841	0.50307692	0.433171977	4.566828023
0.65834508	56881.01491	137.001888	0.10611261	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01922252	0.50307692	0.460531679	4.539468321
0.65835664	56882.0137	138.000672	0.10501851	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01922252	0.50307692	0.436733886	4.563266114
0.65836822	56883.01421	139.001184	0.10524242	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01922252	0.50307692	0.441501937	4.558498063
0.65837979	56884.01386	140.000832	0.10591684	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01922252	0.50307692	0.456180206	4.543819794
0.65839136	56885.0135	141.00048	0.105682	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01922252	0.50307692	0.451014515	4.548985485
0.65840295	56886.01488	142.001856	0.10443811	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01882061	0.50307692	0.424612918	4.575387082
0.65841451	56887.01366	143.00064	0.10470997	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01882061	0.50307692	0.430247932	4.569752068
0.65842609	56888.01418	144.001152	0.1055867	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01882061	0.50307692	0.448934959	4.551065041
0.65843766	56889.01382	145.0008	0.10470156	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01882061	0.50307692	0.430072497	4.569927503
0.65844925	56890.0152	146.002176	0.10535999	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01882061	0.50307692	0.444026338	4.555973662
0.65846082	56891.01485	147.001824	0.10464212	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01956018	0.50307692	0.428834598	4.571165402
